"","Date","StockClose","StockChange","StockPrctChange","StockVolume","VIX","Event","SPY_Close","SPY_Volume"
"1",2024-10-28,426.59,-1.56,-0.0036,14006530,19.8,NA,580.83,30168675
"2",2024-10-25,428.15,3.42,0.0081,16899000,20.33,NA,579.04,47268100
"3",2024-10-24,424.73,0.13,3e-04,13581600,19.08,NA,579.24,34979800
"4",2024-10-23,424.6,-2.91,-0.0068,19654300,19.24,NA,577.99,49314500
"5",2024-10-22,427.51,8.73,0.0208,25482100,18.2,NA,583.32,34183800
"6",2024-10-21,418.78,0.62,0.0015,14206100,18.37,NA,583.63,36439000
"7",2024-10-18,418.16,1.44,0.0035,17145300,18.03,NA,584.59,37416800
"8",2024-10-17,416.72,0.6,0.0014,14820000,19.11,NA,582.35,34393700
"9",2024-10-16,416.12,-2.62,-0.0063,15508900,19.58,NA,582.3,30725400
"10",2024-10-15,418.74,-0.4,-0.001,18900200,20.64,NA,579.78,54203600
"11",2024-10-14,419.14,2.82,0.0068,16653000,19.7,NA,584.32,36217200
"12",2024-10-11,416.32,0.48,0.0012,14144900,20.46,NA,579.58,42267900
"13",2024-10-10,415.84,-1.62,-0.0039,13848300,20.93,NA,576.13,44138000
"14",2024-10-09,417.46,2.75,0.0066,14974200,20.86,NA,577.14,37912200
"15",2024-10-08,414.71,5.17,0.0126,19229200,21.42,NA,573.17,37398600
"16",2024-10-07,409.54,-6.52,-0.0157,20919700,22.64,NA,567.8,49964600
"17",2024-10-04,416.06,-0.48,-0.0012,19190900,19.21,NA,572.98,43005100
"18",2024-10-03,416.54,-0.59,-0.0014,13686400,20.49,NA,567.82,40846400
"19",2024-10-02,417.13,-3.56,-0.0085,16582200,18.9,NA,568.86,38097700
"20",2024-10-01,420.69,-9.61,-0.0223,19092900,19.26,NA,568.62,72668700
"21",2024-09-30,430.3,2.28,0.0053,16854600,16.73,NA,573.76,63655400
"22",2024-09-27,428.02,-3.29,-0.0076,14896100,16.96,NA,571.47,42100900
"23",2024-09-26,431.31,-0.8,-0.0019,14492000,15.37,NA,572.3,48336000
"24",2024-09-25,432.11,2.94,0.0069,13396300,15.41,NA,570.04,38428500
"25",2024-09-24,429.17,-4.34,-0.01,17015700,15.39,NA,571.3,46805600
"26",2024-09-23,433.51,-1.76,-0.004,15128800,15.89,NA,569.67,44116900
"27",2024-09-20,435.27,-3.42,-0.0078,55167100,16.15,NA,568.25,77503100
"28",2024-09-19,438.69,7.88,0.0183,21706500,16.33,NA,570.98,75315400
"29",2024-09-18,430.81,-4.34,-0.01,18898000,18.23,NA,561.4,59044900
"30",2024-09-17,435.15,3.81,0.0088,18874200,17.61,NA,563.07,49320900
"31",2024-09-16,431.34,0.75,0.0017,13834600,17.14,NA,562.84,36656100
"32",2024-09-13,430.59,3.59,0.0084,15874500,16.56,NA,562.01,39310500
"33",2024-09-12,427,3.96,0.0094,17418700,17.07,NA,559.09,51892700
"34",2024-09-11,423.04,8.84,0.0213,19266900,17.69,NA,554.42,75248600
"35",2024-09-10,414.2,8.48,0.0209,19594200,19.08,NA,548.79,36394500
"36",2024-09-09,405.72,4.02,0.01,15295100,19.45,NA,546.41,40445800
"37",2024-09-06,401.7,-6.69,-0.0164,19609500,22.38,NA,540.36,68493800
"38",2024-09-05,408.39,-0.51,-0.0012,14195500,19.9,NA,549.61,44264200
"39",2024-09-04,408.9,-0.54,-0.0013,15135800,21.32,NA,550.95,47224900
"40",2024-09-03,409.44,-7.7,-0.0185,20313600,20.72,NA,552.08,60600100
"41",2024-08-30,417.14,4.02,0.0097,24308300,15,NA,563.68,62700100
"42",2024-08-29,413.12,2.52,0.0061,17045200,15.65,NA,558.35,38715100
"43",2024-08-28,410.6,-3.24,-0.0078,14882600,17.11,NA,558.3,41066000
"44",2024-08-27,413.84,0.35,8e-04,13492900,15.43,NA,561.56,32693900
"45",2024-08-26,413.49,-3.3,-0.0079,13152800,16.15,NA,560.79,35788600
"46",2024-08-23,416.79,1.24,0.003,18493700,15.86,NA,562.13,50639300
"47",2024-08-22,415.55,-8.59,-0.0203,19361900,17.55,NA,556.22,56121400
"48",2024-08-21,424.14,-0.66,-0.0016,16067200,16.27,NA,560.62,41514600
"49",2024-08-20,424.8,3.27,0.0078,16387500,15.88,NA,558.7,33732200
"50",2024-08-19,421.53,3.06,0.0073,15233900,14.65,NA,559.61,39121700
"51",2024-08-16,418.47,-2.56,-0.0061,22775500,14.8,NA,554.31,44430700
"52",2024-08-15,421.03,4.17,0.01,20752100,15.23,"Dividend",553.07,60846800
"53",2024-08-14,416.86,2.85,0.0069,18266900,16.19,NA,543.75,42446900
"54",2024-08-13,414.01,7.2,0.0177,19414200,18.12,NA,542.04,52333000
"55",2024-08-12,406.81,0.79,0.0019,16762800,20.71,NA,533.27,42542000
"56",2024-08-09,406.02,3.33,0.0083,19276600,20.37,NA,532.99,45619500
"57",2024-08-08,402.69,4.26,0.0107,20203000,23.79,NA,530.65,63276500
"58",2024-08-07,398.43,-1.18,-0.003,20650900,27.85,NA,518.66,70698300
"59",2024-08-06,399.61,4.46,0.0113,24946500,27.71,NA,522.15,84826300
"60",2024-08-05,395.15,-13.34,-0.0327,40709200,38.57,NA,517.38,146267300
"61",2024-08-02,408.49,-8.62,-0.0207,29437900,23.39,NA,532.9,82789000
"62",2024-08-01,417.11,-1.24,-0.003,30296400,18.59,NA,543.01,76428700
"63",2024-07-31,418.35,-4.57,-0.0108,42891300,16.36,NA,550.81,65663300
"64",2024-07-30,422.92,-3.81,-0.0089,32687500,17.69,"Earnings",542,46853600
"65",2024-07-29,426.73,1.46,0.0034,15125800,16.6,NA,544.76,39515800
"66",2024-07-26,425.27,6.87,0.0164,23583800,16.39,NA,544.44,53763700
"67",2024-07-25,418.4,-10.5,-0.0245,29943700,18.46,NA,538.41,61158200
"68",2024-07-24,428.9,-15.95,-0.0359,26805800,18.04,NA,541.23,74515200
"69",2024-07-23,444.85,1.91,0.0043,13107000,14.72,NA,553.78,34439500
"70",2024-07-22,442.94,5.83,0.0133,15808700,14.91,NA,554.65,43346700
"71",2024-07-19,437.11,-3.26,-0.0074,20940400,16.52,NA,548.99,65509000
"72",2024-07-18,440.37,-3.15,-0.0071,20794800,15.93,NA,552.66,56270300
"73",2024-07-17,443.52,-6,-0.0133,21754000,14.48,NA,556.94,57118900
"74",2024-07-16,449.52,-4.44,-0.0098,17175600,13.19,NA,564.86,36475200
"75",2024-07-15,453.96,0.41,9e-04,14429400,13.12,NA,561.53,40584200
"76",2024-07-12,453.55,-1.15,-0.0025,16324200,12.46,NA,559.99,53084400
"77",2024-07-11,454.7,-11.55,-0.0248,23111100,12.92,NA,556.48,53054100
