Time,Open,High,Low,Last,Change,%Chg,Volume
10/28/2024,582.58,582.71,580.52,580.83,1.79,0.31%,30168675
10/25/2024,581.51,584.46,578.08,579.04,-0.2,-0.03%,47268100
10/24/2024,579.98,580.06,576.57,579.24,1.25,0.22%,34979800
10/23/2024,581.26,581.7086,574.415,577.99,-5.33,-0.91%,49314500
10/22/2024,581.05,584.5,580.38,583.32,-0.31,-0.05%,34183800
10/21/2024,583.85,584.85,580.6001,583.63,-0.96,-0.16%,36439000
10/18/2024,584.07,585.39,582.58,584.59,2.24,0.38%,37416800
10/17/2024,585.91,586.12,582.16,582.35,0.05,0.01%,34393700
10/16/2024,579.78,582.83,578.96,582.3,2.52,0.43%,30725400
10/15/2024,584.59,584.9,578.545,579.78,-4.54,-0.78%,54203600
10/14/2024,581.22,585.27,580.73,584.32,4.74,0.82%,36217200
10/11/2024,576.05,580.33,575.91,579.58,3.45,0.60%,42267900
10/10/2024,575.77,577.58,574.49,576.13,-1.01,-0.18%,44138000
10/9/2024,573.16,577.71,572.55,577.14,3.97,0.69%,37912200
10/8/2024,570.42,573.78,569.5299,573.17,5.37,0.95%,37398600
10/7/2024,571.3,571.9599,566.63,567.8,-5.18,-0.90%,49964600
10/4/2024,572.35,573.36,568.1,572.98,5.16,0.91%,43005100
10/3/2024,567.36,569.8025,565.49,567.82,-1.04,-0.18%,40846400
10/2/2024,567.71,569.9,565.27,568.86,0.24,0.04%,38097700
10/1/2024,573.4,574.0622,566,568.62,-5.14,-0.90%,72668700
9/30/2024,570.42,574.38,568.08,573.76,2.29,0.40%,63655400
9/27/2024,573.39,574.22,570.42,571.47,-0.83,-0.15%,42100900
9/26/2024,574.38,574.71,569.9,572.3,2.26,0.40%,48336000
9/25/2024,571.14,571.89,568.91,570.04,-1.26,-0.22%,38428500
9/24/2024,570.48,571.36,567.6,571.3,1.63,0.29%,46805600
9/23/2024,569.34,570.3325,568.1,569.67,1.42,0.25%,44116900
9/20/2024,567.84,569.31,565.17,568.25,-2.73,-0.48%,77503100
9/19/2024,571.01,572.88,568.08,570.98,9.58,1.71%,75315400
9/18/2024,563.74,568.69,560.83,561.4,-1.67,-0.30%,59044900
9/17/2024,565.1,566.58,560.795,563.07,0.23,0.04%,49320900
9/16/2024,561.74,563.11,559.9,562.84,0.83,0.15%,36656100
9/13/2024,559.71,563.03,559.45,562.01,2.92,0.52%,39310500
9/12/2024,555.01,559.4,552.74,559.09,4.67,0.84%,51892700
9/11/2024,548.7,555.36,539.96,554.42,5.63,1.03%,75248600
9/10/2024,548.36,549.15,543.38,548.79,2.38,0.44%,36394500
9/9/2024,544.65,547.71,542.68,546.41,6.05,1.12%,40445800
9/6/2024,549.94,551.6,539.44,540.36,-9.25,-1.68%,68493800
9/5/2024,550.89,553.7995,547.1,549.61,-1.34,-0.24%,44264200
9/4/2024,550.2,554.43,549.46,550.95,-1.13,-0.20%,47224900
9/3/2024,560.47,560.81,549.51,552.08,-11.6,-2.06%,60600100
8/30/2024,560.77,564.2,557.14,563.68,5.33,0.95%,62700100
8/29/2024,560.31,563.68,557.18,558.35,0.05,0.01%,38715100
8/28/2024,561.21,561.65,555.04,558.3,-3.26,-0.58%,41066000
8/27/2024,559.49,562.06,558.32,561.56,0.77,0.14%,32693900
8/26/2024,563.18,563.91,559.05,560.79,-1.34,-0.24%,35788600
8/23/2024,559.53,563.09,557.29,562.13,5.91,1.06%,50639300
8/22/2024,562.56,563.18,554.98,556.22,-4.4,-0.78%,56121400
8/21/2024,559.77,562.11,554.73,560.62,1.92,0.34%,41514600
8/20/2024,559.15,560.84,557.325,558.7,-0.91,-0.16%,33732200
8/19/2024,554.73,559.61,553.86,559.61,5.3,0.96%,39121700
