Time,Open,High,Low,Last,Change,%Chg,Volume
10/29/2024,0.92488,0.92497,0.92461,0.92495,0.00006,0.01%,2567
10/28/2024,0.92629,0.92745,0.92359,0.92489,-0.0014,-0.15%,70678
10/25/2024,0.92354,0.92649,0.92257,0.92629,0.00275,0.30%,71236
10/24/2024,0.92743,0.92846,0.92337,0.92354,-0.00389,-0.42%,81267
10/23/2024,0.92601,0.92923,0.92538,0.92743,0.00141,0.15%,75519
10/22/2024,0.92469,0.92655,0.92269,0.92602,0.00133,0.14%,71910
10/21/2024,0.92081,0.92498,0.91987,0.92469,0.00452,0.49%,65576
10/18/2024,0.92326,0.92373,0.92001,0.92017,-0.0031,-0.34%,68940
10/17/2024,0.92064,0.92491,0.91978,0.92327,0.00263,0.29%,82841
10/16/2024,0.91817,0.92136,0.91735,0.92064,0.00247,0.27%,72467
10/15/2024,0.91665,0.91896,0.91601,0.91817,0.00152,0.17%,75941
10/14/2024,0.91466,0.91838,0.91435,0.91665,0.00234,0.26%,66034
10/11/2024,0.91433,0.91521,0.91291,0.91431,0,0.00%,69884
10/10/2024,0.91412,0.91739,0.91284,0.91431,0.0002,0.02%,92975
10/9/2024,0.91069,0.91438,0.91067,0.91411,0.00343,0.38%,76338
10/8/2024,0.91119,0.9123,0.90933,0.91068,-0.00051,-0.06%,81504
10/7/2024,0.91212,0.91289,0.91014,0.91119,0.0001,0.01%,86805
10/4/2024,0.90657,0.91314,0.90583,0.91109,0.00451,0.50%,91889
10/3/2024,0.90539,0.90837,0.90504,0.90658,0.00118,0.13%,90402
10/2/2024,0.90351,0.90638,0.90231,0.9054,0.00188,0.21%,83511
10/1/2024,0.89807,0.90527,0.89735,0.90352,0.00545,0.61%,100207
9/30/2024,0.89579,0.89974,0.89215,0.89807,0.00231,0.26%,92286
9/27/2024,0.89472,0.89889,0.89262,0.89576,0.00104,0.12%,98890
9/26/2024,0.89824,0.89881,0.89371,0.89472,-0.00353,-0.39%,97142
9/25/2024,0.89449,0.89911,0.89175,0.89825,0.00376,0.42%,87055
9/24/2024,0.9,0.90061,0.89438,0.89449,-0.00551,-0.61%,84016
9/23/2024,0.89596,0.90222,0.89547,0.9,0.00422,0.47%,88401
9/20/2024,0.89591,0.89794,0.89431,0.89578,-0.00014,-0.02%,91373
9/19/2024,0.89939,0.90343,0.89455,0.89592,-0.00347,-0.39%,108639
9/18/2024,0.89981,0.90111,0.89379,0.89939,-0.00041,-0.05%,92928
9/17/2024,0.89824,0.89997,0.89719,0.8998,0.00157,0.17%,79664
