"id","attachment","total_limit","total_premium","layer_number","price_per_million","rate_relativity","industry_vertical","region","sic_code"
1,0,10000000,3277515,0,327751.5,NA,"Construction","NE","1611"
1,1e+07,15000000,1016235,1,67749,0.206708436116997,"Construction","NE","1611"
1,2.5e+07,10000000,484000,2,48400,0.714401688585809,"Construction","NE","1611"
1,3.5e+07,10000000,171000,3,17100,0.353305785123967,"Construction","NE","1611"
2,0,15000000,185111,0,12340.7333333333,NA,"Financial Institutions & Professional Services","NE","6311"
2,1.5e+07,15000000,1e+05,1,6666.66666666667,0.540216410694124,"Financial Institutions & Professional Services","NE","6311"
2,3e+07,25000000,82850,2,3314,0.4971,"Financial Institutions & Professional Services","NE","6311"
2,5.5e+07,20000000,50500,3,2525,0.761919130959565,"Financial Institutions & Professional Services","NE","6311"
2,7.5e+07,25000000,49995,4,1999.8,0.792,"Financial Institutions & Professional Services","NE","6311"
13,0,10000000,450000,0,45000,NA,"Retail & Distribution","NE","5651"
13,1e+07,15000000,250000,1,16666.6666666667,0.37037037037037,"Retail & Distribution","NE","5651"
13,2.5e+07,15000000,128300,2,8553.33333333333,0.5132,"Retail & Distribution","NE","5651"
13,4e+07,15000000,69005,3,4600.33333333333,0.53784099766173,"Retail & Distribution","NE","5651"
13,5.5e+07,20000000,77735,4,3886.75,0.84488442866459,"Retail & Distribution","NE","5651"
13,7.5e+07,75000000,214187,5,2855.82666666667,0.734759546321906,"Retail & Distribution","NE","5651"
13,1.5e+08,25000000,61600,6,2464,0.862797462030842,"Retail & Distribution","NE","5651"
13,1.75e+08,25000000,50000,7,2000,0.811688311688312,"Retail & Distribution","NE","5651"
14,0,10000000,322650,0,32265,NA,"Health & Life Sciences: Healthcare","SE","6321"
14,6e+07,20000000,385830,1,19291.5,0.597907949790795,"Health & Life Sciences: Healthcare","SE","6321"
14,8e+07,20000000,245640,2,12282,0.636653448409921,"Health & Life Sciences: Healthcare","SE","6321"
14,1e+08,20000000,171480,3,8574,0.6980947728383,"Health & Life Sciences: Healthcare","SE","6321"
14,1.2e+08,15000000,135242.5,4,9016.16666666667,1.05157063991914,"Health & Life Sciences: Healthcare","SE","6321"
14,1.35e+08,5000000,40050,5,8010,0.888404162892582,"Health & Life Sciences: Healthcare","SE","6321"
14,1.4e+08,10000000,75285,6,7528.5,0.939887640449438,"Health & Life Sciences: Healthcare","SE","6321"
28,0,10000000,130000,0,13000,NA,"Tech Media Telecom","NE","3861"
28,1e+07,15000000,86750,1,5783.33333333333,0.444871794871795,"Tech Media Telecom","NE","3861"
37,0,10000000,660000,0,66000,NA,"M&A/General Industries","NE","5084"
37,1e+07,15000000,4e+05,1,26666.6666666667,0.404040404040404,"M&A/General Industries","NE","5084"
37,2.5e+07,25000000,339902,2,13596.08,0.509853,"M&A/General Industries","NE","5084"
37,5e+07,15000000,103325,3,6888.33333333333,0.506641129894303,"M&A/General Industries","NE","5084"
37,6.5e+07,10000000,66780,4,6678,0.969465279458021,"M&A/General Industries","NE","5084"
37,7.5e+07,25000000,105928,5,4237.12,0.634489368074274,"M&A/General Industries","NE","5084"
46,0,10000000,296067,0,29606.7,NA,"Retail & Distribution","SE","5651"
46,1e+07,15000000,127500,1,8500,0.287097177328105,"Retail & Distribution","SE","5651"
46,2.5e+07,25000000,133500,2,5340,0.628235294117647,"Retail & Distribution","SE","5651"
46,5e+07,50000000,164000,3,3280,0.614232209737828,"Retail & Distribution","SE","5651"
46,1e+08,25000000,53800,4,2152,0.65609756097561,"Retail & Distribution","SE","5651"
47,0,3000000,643887,0,214629,NA,"REHL: Hospitality","MW","7011"
47,3e+06,7000000,980000,1,140000,0.652288367368808,"REHL: Hospitality","MW","7011"
47,1e+07,10000000,550500,2,55050,0.393214285714286,"REHL: Hospitality","MW","7011"
47,2e+07,10000000,231472,3,23147.2,0.420475930971844,"REHL: Hospitality","MW","7011"
47,3e+07,20000000,290000,4,14500,0.626425658394968,"REHL: Hospitality","MW","7011"
47,5e+07,15000000,180054,5,12003.6,0.827834482758621,"REHL: Hospitality","MW","7011"
47,6.5e+07,10000000,87402,6,8740.2,0.72813156053184,"REHL: Hospitality","MW","7011"
47,7.5e+07,25000000,208328,7,8333.12,0.953424406764147,"REHL: Hospitality","MW","7011"
48,0,10000000,669000,0,66900,NA,"Tech Media Telecom","SE","4841"
48,3.5e+07,25000000,470400,1,18816,0.281255605381166,"Tech Media Telecom","SE","4841"
48,6e+07,25000000,330375,2,13215,0.702327806122449,"Tech Media Telecom","SE","4841"
48,8.5e+07,20000000,210000,3,10500,0.794551645856981,"Tech Media Telecom","SE","4841"
48,1.05e+08,25000000,222772,4,8910.88,0.848655238095238,"Tech Media Telecom","SE","4841"
51,0,15000000,451100,0,30073.3333333333,NA,"M&A/General Industries","SE","7217"
51,1.5e+07,10000000,165000,1,16500,0.548658833961428,"M&A/General Industries","SE","7217"
51,2.5e+07,20000000,275000,2,13750,0.833333333333333,"M&A/General Industries","SE","7217"
