client_id,carrier_number,layer_number,limit,attachment,share,rate_rel,lead_ratio,per_mil,premium,layers_in_tower,entries_in_tower,sic_industry,carrier_name,is_train1,is_train2,is_train3
1,1,0,10000000.0,0,1,,1.0,327751.5,3277515.0,4,4,Construction,"Berkshire Hathaway Group",1,0,1
1,1,1,15000000.0,10000000.0,1,0.207,0.20670843611699719,67749.0,1016235.0,4,4,Construction,"Liberty Mutual Group",1,0,1
1,1,2,10000000.0,25000000.0,1,0.714,0.1476728558069147,48400.0,484000.0,4,4,Construction,"Westchester Fire Insurance Company",1,0,1
1,1,3,10000000.0,35000000.0,1,0.353,0.05217367426236035,17100.0,171000.0,4,4,Construction,"Sompo Holdings, Inc.",1,0,1
2,1,0,15000000.0,0,1,,1.0,12340.733,185111.0,5,5,"Finance, Insurance and Real estate","CNA Group",1,1,0
2,1,1,15000000.0,15000000.0,1,0.54,0.5402164106941241,6666.667,100000.0,5,5,"Finance, Insurance and Real estate","AIG Group",1,1,0
2,1,2,25000000.0,30000000.0,1,0.497,0.2685415777560491,3314.0,82850.0,5,5,"Finance, Insurance and Real estate","Liberty Mutual Group",1,1,0
2,1,3,20000000.0,55000000.0,1,0.762,0.20460696555039948,2525.0,50500.0,5,5,"Finance, Insurance and Real estate","Zurich Group",1,1,0
2,1,4,25000000.0,75000000.0,1,0.792,0.1620487167159164,1999.8,49995.0,5,5,"Finance, Insurance and Real estate","Navigators (The Hartford)",1,1,0
13,1,0,10000000.0,0,1,,1.0,45000.0,450000.0,8,8,Retail Trade,"AIG Group",1,1,1
13,1,1,15000000.0,10000000.0,1,0.37,0.3703703703703704,16666.667,250000.0,8,8,Retail Trade,"CNA Group",1,1,1
13,1,2,15000000.0,25000000.0,1,0.513,0.1900740740740741,8553.333,128300.0,8,8,Retail Trade,"Great American P&C Group",1,1,1
13,1,3,15000000.0,40000000.0,1,0.538,0.10222962962962963,4600.333,69005.0,8,8,Retail Trade,"Travelers Group",1,1,1
13,1,4,20000000.0,55000000.0,1,0.845,0.08637222222222223,3886.75,77735.0,8,8,Retail Trade,"AWAC",1,1,1
13,1,5,75000000.0,75000000.0,1,0.735,0.06346281481481482,2855.827,214187.0,8,8,Retail Trade,"None",1,1,1
13,1,6,25000000.0,150000000.0,1,0.863,0.05475555555555556,2464.0,61600.0,8,8,Retail Trade,"Chubb Group",1,1,1
13,1,7,25000000.0,175000000.0,1,0.812,0.044444444444444446,2000.0,50000.0,8,8,Retail Trade,"Hartford Group",1,1,1
28,1,0,10000000.0,0,1,,1.0,13000.0,130000.0,2,2,Manufacturing,"Mitsui",1,1,1
28,1,1,15000000.0,10000000.0,1,0.445,0.44487179487179485,5783.333,86750.0,2,2,Manufacturing,"Placeholder",1,1,1
37,1,0,10000000.0,0,1,,1.0,66000.0,660000.0,6,6,Wholesale Trade,"Markel Group",1,0,1
37,1,1,15000000.0,10000000.0,1,0.404,0.40404040404040403,26666.667,400000.0,6,6,Wholesale Trade,"Hartford Group",1,0,1
37,1,2,25000000.0,25000000.0,1,0.51,0.2060012121212121,13596.08,339902.0,6,6,Wholesale Trade,"Chubb Group",1,0,1
37,1,3,15000000.0,50000000.0,1,0.507,0.10436868686868686,6888.333,103325.0,6,6,Wholesale Trade,"Great American P&C Group",1,0,1
37,1,4,10000000.0,65000000.0,1,0.969,0.10118181818181818,6678.0,66780.0,6,6,Wholesale Trade,"AXA XL Group",1,0,1
37,1,5,25000000.0,75000000.0,1,0.634,0.06419878787878788,4237.12,105928.0,6,6,Wholesale Trade,"None",1,0,1
46,1,0,10000000.0,0,1,,1.0,29606.7,296067.0,5,5,Retail Trade,"Chubb Group",1,1,1
46,1,1,15000000.0,10000000.0,1,0.287,0.2870971773281048,8500.0,127500.0,5,5,Retail Trade,"None",1,1,1
46,1,2,25000000.0,25000000.0,1,0.628,0.18036457963906818,5340.0,133500.0,5,5,Retail Trade,"None",1,1,1
