"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
1,"UM",0,1,NA,1e+07,1e+07,3277515,327752,1,NA,1e+07,1e+07,3277515,NA,1611
1,"XS",1,1,1e+07,1.5e+07,2.5e+07,1016235,67749,1,1e+07,1.5e+07,2.5e+07,1016235,0.20671,1611
1,"XS",2,1,2.5e+07,1e+07,3.5e+07,484000,48400,1,2.5e+07,1e+07,3.5e+07,484000,0.7144,1611
1,"XS",3,1,3.5e+07,1e+07,4.5e+07,171000,17100,1,3.5e+07,1e+07,4.5e+07,171000,0.35331,1611
2,"UM",0,1,2e+06,1.5e+07,1.7e+07,185111,12341,1,2e+06,1.5e+07,1.7e+07,185111,NA,6311
2,"XS",1,1,1.5e+07,1.5e+07,3e+07,1e+05,6667,1,1.5e+07,1.5e+07,3e+07,1e+05,0.54022,6311
2,"XS",2,1,3e+07,2.5e+07,5.5e+07,82850,3314,1,3e+07,2.5e+07,5.5e+07,82850,0.4971,6311
2,"XS",3,1,5.5e+07,2e+07,7.5e+07,50500,2525,1,5.5e+07,2e+07,7.5e+07,50500,0.76192,6311
2,"XS",4,1,7.5e+07,2.5e+07,1e+08,49995,2000,1,7.5e+07,2.5e+07,1e+08,49995,0.792,6311
9,"UM",0,1,NA,5e+06,5e+06,703411,140682,1,NA,5e+06,5e+06,703411,NA,NA
9,"XS",1,1,5e+06,1e+07,1.5e+07,589553,58955,1,5e+06,1e+07,1.5e+07,589553,0.41907,NA
9,"XS",2,1,1.5e+07,1e+07,2.5e+07,255000,25500,1,1.5e+07,1e+07,2.5e+07,255000,0.43253,NA
9,"XS",3,1,2.5e+07,1e+07,3.5e+07,130000,13000,0.4,2.5e+07,2.5e+07,5e+07,325000,0.5098,NA
9,"XS",3,2,2.5e+07,1.5e+07,4e+07,195000,13000,0.6,2.5e+07,2.5e+07,5e+07,325000,0.5098,NA
9,"XS",4,1,5e+07,12500000,62500000,99942,7995,0.5,5e+07,2.5e+07,7.5e+07,199942,0.61521,NA
9,"XS",4,2,5e+07,12500000,62500000,1e+05,8000,0.5,5e+07,2.5e+07,7.5e+07,199942,0.61521,NA
9,"XS",5,1,7.5e+07,2.5e+07,1e+08,109244,4370,1,7.5e+07,2.5e+07,1e+08,109244,0.54638,NA
9,"XS",6,1,1e+08,1.5e+07,1.15e+08,37500,2500,0.6,1e+08,2.5e+07,1.25e+08,62750,0.5744,NA
9,"XS",6,2,1e+08,1e+07,1.1e+08,25250,2525,0.4,1e+08,2.5e+07,1.25e+08,62750,0.5744,NA
13,"UM",0,1,NA,1e+07,1e+07,450000,45000,1,NA,1e+07,1e+07,450000,NA,5651
13,"XS",1,1,1e+07,1.5e+07,2.5e+07,250000,16667,1,1e+07,1.5e+07,2.5e+07,250000,0.37037,5651
13,"XS",2,1,2.5e+07,1.5e+07,4e+07,128300,8553,1,2.5e+07,1.5e+07,4e+07,128300,0.5132,5651
13,"XS",3,1,4e+07,1.5e+07,5.5e+07,69005,4600,1,4e+07,1.5e+07,5.5e+07,69005,0.53784,5651
13,"XS",4,1,5.5e+07,2e+07,7.5e+07,77735,3887,1,5.5e+07,2e+07,7.5e+07,77735,0.84488,5651
13,"XS",5,1,7.5e+07,1e+07,8.5e+07,28455,2846,0.133,7.5e+07,7.5e+07,1.5e+08,214187,0.73476,5651
13,"XS",5,2,7.5e+07,2.5e+07,1e+08,71400,2856,0.333,7.5e+07,7.5e+07,1.5e+08,214187,0.73476,5651
13,"XS",5,3,7.5e+07,1.5e+07,9e+07,43632,2909,0.2,7.5e+07,7.5e+07,1.5e+08,214187,0.73476,5651
13,"XS",5,4,7.5e+07,2.5e+07,1e+08,70700,2828,0.333,7.5e+07,7.5e+07,1.5e+08,214187,0.73476,5651
13,"XS",6,1,1.5e+08,2.5e+07,1.75e+08,61600,2464,1,1.5e+08,2.5e+07,1.75e+08,61600,0.8628,5651
13,"XS",7,1,1.75e+08,2.5e+07,2e+08,50000,2000,1,1.75e+08,2.5e+07,2e+08,50000,0.81169,5651
14,"UM",0,1,5e+07,1e+07,6e+07,322650,32265,1,5e+07,1e+07,6e+07,322650,NA,6321
14,"XS",1,1,6e+07,1e+07,7e+07,192240,19224,0.5,6e+07,2e+07,8e+07,385830,0.59791,6321
14,"XS",1,2,6e+07,1e+07,7e+07,193590,19359,0.5,6e+07,2e+07,8e+07,385830,0.59791,6321
14,"XS",2,1,8e+07,1e+07,9e+07,122820,12282,0.5,8e+07,2e+07,1e+08,245640,0.63665,6321
14,"XS",2,2,8e+07,1e+07,9e+07,122820,12282,0.5,8e+07,2e+07,1e+08,245640,0.63665,6321
14,"XS",3,1,1e+08,1e+07,1.1e+08,86040,8604,0.5,1e+08,2e+07,1.2e+08,171480,0.69809,6321
14,"XS",3,2,1e+08,1e+07,1.1e+08,85440,8544,0.5,1e+08,2e+07,1.2e+08,171480,0.69809,6321
